Income,Recency,Customer_Days,Total_Spending,Total_Purchases,Cluster,Segment,Recommendation,Strategy,Channels,Offers,Goal,Customer_Review,Predicted_Sentiment
52247.25135379061,11,4514,19,4,1.0,New Customers,"{'Strategy': 'Welcome Campaign', 'Channels': ['Email', 'SMS'], 'Offers': ['First Purchase Discount'], 'Goal': 'Convert into repeat customers'}",Welcome Campaign,"Email, SMS",First Purchase Discount,Convert into repeat customers,"I've tried many different chocolates - including different types of Cadbury's<br />and my favorites are the flake, roses and eclairs. The chocolate flavor tastes<br />natural (not waxy) smooth and I'm never disappointed",Positive
7500.0,59,4881,61,6,0.0,High Value Customers,"{'Strategy': 'Loyalty Rewards & Premium Offers', 'Channels': ['Email', 'Personal Calls'], 'Offers': ['Exclusive Discounts', 'Early Access'], 'Goal': 'Increase retention and lifetime value'}",Loyalty Rewards & Premium Offers,"Email, Personal Calls","Exclusive Discounts, Early Access",Increase retention and lifetime value,"These might be the best-tasting bars I've ever tried. They keep pretty well, too, although if you leave them in your car (in the heat) they will lose freshness will get hard quickly. They are great as a meal replacement when you don't have time for lunch and you need to grab something satisfying that won't spike your blood sugar and make you feel sick later on. This is a sustained energy-- I think it's the nuts that help it have a lasting energy feeling. The calories in these is always about 300, which is good for a meal replacement.<br /><br />I really love the ginger snap, which tastes just like a real gingersnap cookie and you can taste the real ginger. Although most Larabars are very delicious, and I can't say I have ever disliked any of them.",Positive
63033.0,82,4514,1102,16,3.0,Budget Buyers,"{'Strategy': 'Price-Based Promotions', 'Channels': ['SMS', 'Ads'], 'Offers': ['Coupons', 'Seasonal Discounts'], 'Goal': 'Increase purchase frequency'}",Price-Based Promotions,"SMS, Ads","Coupons, Seasonal Discounts",Increase purchase frequency,I love to cook and try new foods.  I have been trying to avoid wheat for dietary reasons.  I find the Almond meal to be a nice addition to my gluten free flours in baked goods and savory dishes.  It adds a nice texture and richness.,Positive
59354.0,53,4514,310,15,1.0,New Customers,"{'Strategy': 'Welcome Campaign', 'Channels': ['Email', 'SMS'], 'Offers': ['First Purchase Discount'], 'Goal': 'Convert into repeat customers'}",Welcome Campaign,"Email, SMS",First Purchase Discount,Convert into repeat customers,"My son is having his 3rd birthday this weekend with a Spiderman theme.  I was hoping to get at least a few Spiderman pez dispensers in the box.  When the box arrived, there were absolutely NO SPIDERMAN PEZ DISPENSERS.  I am disappointed.  Do not order this product unless you like Iron Man, Thor or Captain America.",Negative
17323.0,38,4915,46,5,0.0,High Value Customers,"{'Strategy': 'Loyalty Rewards & Premium Offers', 'Channels': ['Email', 'Personal Calls'], 'Offers': ['Exclusive Discounts', 'Early Access'], 'Goal': 'Increase retention and lifetime value'}",Loyalty Rewards & Premium Offers,"Email, Personal Calls","Exclusive Discounts, Early Access",Increase retention and lifetime value,"I agree with the other reviewer that it isn't exactly ""hearty,"" but it is very good for a side dish or appetizer. I'll give it 5 stars for a nutritious and tasty packaged soup -- without msg or other deadly ingredients often found in other soup mixes. Sodium is the only ""bad,"" but it's a good soup.",Positive
82800.0,23,4870,1315,26,2.0,At Risk Customers,"{'Strategy': 'Re-engagement Campaign', 'Channels': ['Email', 'Push Notifications'], 'Offers': ['Win-back Discounts'], 'Goal': 'Prevent churn'}",Re-engagement Campaign,"Email, Push Notifications",Win-back Discounts,Prevent churn,i got these just to try them out and they were even better then what i expected. i am a chocolate lover and not impressed with just anything.,Positive
41850.0,51,4840,96,9,0.0,High Value Customers,"{'Strategy': 'Loyalty Rewards & Premium Offers', 'Channels': ['Email', 'Personal Calls'], 'Offers': ['Exclusive Discounts', 'Early Access'], 'Goal': 'Increase retention and lifetime value'}",Loyalty Rewards & Premium Offers,"Email, Personal Calls","Exclusive Discounts, Early Access",Increase retention and lifetime value,My boston terrier puppy loves these treats.  Other treats upset his stomach but these are great.  They are wonderful for training due to their moist small size.  I love the natural ingredients too!  Amazon prizes are great for thisw product.  I pay almost double at the pet store.,Positive
37760.0,20,4955,317,13,0.0,High Value Customers,"{'Strategy': 'Loyalty Rewards & Premium Offers', 'Channels': ['Email', 'Personal Calls'], 'Offers': ['Exclusive Discounts', 'Early Access'], 'Goal': 'Increase retention and lifetime value'}",Loyalty Rewards & Premium Offers,"Email, Personal Calls","Exclusive Discounts, Early Access",Increase retention and lifetime value,"Kitty Kaviar (or Delicious Fishes in my house) is the favored treat of my finicky felines.  As long as they like fish, they're guaranteed to love KK because it is all tuna all the time.  That's a good thing--no adulteration from carbs that cats cannot assimilate anyway.  Kitty Kaviar is also a great gift for cat lovers.  I recommend the smaller size for this purpose just in case their cat is not a fish fan.",Positive
76995.0,91,4746,1782,26,3.0,Budget Buyers,"{'Strategy': 'Price-Based Promotions', 'Channels': ['SMS', 'Ads'], 'Offers': ['Coupons', 'Seasonal Discounts'], 'Goal': 'Increase purchase frequency'}",Price-Based Promotions,"SMS, Ads","Coupons, Seasonal Discounts",Increase purchase frequency,"Loved this coffee for its smooth flavor.  Not very bitter, but also very light on vanilla flavor.<br /><br />Packing was very typical Starbucks and I had no issue with it whatsoever.<br /><br />All-in-all, a nice smooth coffee that I would recommend.",Positive
33812.0,86,4891,133,8,0.0,High Value Customers,"{'Strategy': 'Loyalty Rewards & Premium Offers', 'Channels': ['Email', 'Personal Calls'], 'Offers': ['Exclusive Discounts', 'Early Access'], 'Goal': 'Increase retention and lifetime value'}",Loyalty Rewards & Premium Offers,"Email, Personal Calls","Exclusive Discounts, Early Access",Increase retention and lifetime value,"The reason I am trying this out is because I use instant dry milk and to make it taste smoother I wanted to add just a little cream.  I have added the liquid but since I live a long way from a store I needed something that would keep for a long time.  This really works.  I was a little worried that the expense of the jar would be prohibitive to use on a regular basis but you only need a tablespoon to a half-gallon of mixed milk to give it a creamier taste,that is at least for me).  I am sure if you used this product in puddings or other milk products it would work just fine.  I did use it to make yogurt and the taste was great.",Positive
37040.0,41,4978,316,12,0.0,High Value Customers,"{'Strategy': 'Loyalty Rewards & Premium Offers', 'Channels': ['Email', 'Personal Calls'], 'Offers': ['Exclusive Discounts', 'Early Access'], 'Goal': 'Increase retention and lifetime value'}",Loyalty Rewards & Premium Offers,"Email, Personal Calls","Exclusive Discounts, Early Access",Increase retention and lifetime value,"My daughter gobbles these puffs up like they're manna from heaven... ""Puff"" is one of the first words she attempted to say... She walks around with a canister of puffs like she owns the place...",Positive
2447.0,42,4827,1730,43,3.0,Budget Buyers,"{'Strategy': 'Price-Based Promotions', 'Channels': ['SMS', 'Ads'], 'Offers': ['Coupons', 'Seasonal Discounts'], 'Goal': 'Increase purchase frequency'}",Price-Based Promotions,"SMS, Ads","Coupons, Seasonal Discounts",Increase purchase frequency,"My 26 month old son LOVES these! He used to like the Gerber graduates fruit strips and twists, and still does, but prefers these if he has a choice. I've tried one of these myself and they taste good for adults too. The only bad thing about these.... my son keeps asking for more!!!",Positive
58607.0,63,4841,972,17,3.0,Budget Buyers,"{'Strategy': 'Price-Based Promotions', 'Channels': ['SMS', 'Ads'], 'Offers': ['Coupons', 'Seasonal Discounts'], 'Goal': 'Increase purchase frequency'}",Price-Based Promotions,"SMS, Ads","Coupons, Seasonal Discounts",Increase purchase frequency,"What Keurig would be complete without a nice assortment of 48 coffee lover's K-Cups? For the value and for the wide assortment of choices, this was a no brainer for someone who loves her Keurig, and made my day when they all went to good use and were enjoyed to the fullest extent.<br /><br />A no brainer for anyone with a Keurig.<br /><br />5 Tasty Stars out of 5!",Positive
65324.0,0,4457,544,20,2.0,At Risk Customers,"{'Strategy': 'Re-engagement Campaign', 'Channels': ['Email', 'Push Notifications'], 'Offers': ['Win-back Discounts'], 'Goal': 'Prevent churn'}",Re-engagement Campaign,"Email, Push Notifications",Win-back Discounts,Prevent churn,"after suffering with the chemical smells of the clay based litters, i was excited about trying feline pine. initially our two cats seemed to continue primarily using the clay litter box (we have two litter boxes, converted one to fp and kept using clay based litter in the second). However, we had some usage in the first and once we converted the second to fp they seemed to be perfectly happy. Results have been great! there is more odor immediately after the cat goes #2 but there is literally no on-going odor and the cats don't smell like chemicals after using the litter box. Much better for us and them. In addition, there is far less tracking (we use the non-clumping fp). Once the cat urine has broken the pellets into sawdust you can see some tracking of the sawdust but that is an easy indicator it is time to do some cleaning! Definitely need to have the right equipment (sifting cat litter box and the right scooper). Very happy customer.",Positive
40689.0,69,4756,444,20,0.0,High Value Customers,"{'Strategy': 'Loyalty Rewards & Premium Offers', 'Channels': ['Email', 'Personal Calls'], 'Offers': ['Exclusive Discounts', 'Early Access'], 'Goal': 'Increase retention and lifetime value'}",Loyalty Rewards & Premium Offers,"Email, Personal Calls","Exclusive Discounts, Early Access",Increase retention and lifetime value,"For me, this brand has just the right amount of zip without being too harsh.  We like it much much better than Goya.  The price was right, and with Prime it came with free shipping.  We are very happy with our purchase.",Positive
18589.0,89,4831,75,8,0.0,High Value Customers,"{'Strategy': 'Loyalty Rewards & Premium Offers', 'Channels': ['Email', 'Personal Calls'], 'Offers': ['Exclusive Discounts', 'Early Access'], 'Goal': 'Increase retention and lifetime value'}",Loyalty Rewards & Premium Offers,"Email, Personal Calls","Exclusive Discounts, Early Access",Increase retention and lifetime value,This coffee is delicious.  It smells like heaven.  The taste is not too overwhelming.  We will always have it on hand from now on!,Positive
53359.0,4,4686,257,14,0.0,High Value Customers,"{'Strategy': 'Loyalty Rewards & Premium Offers', 'Channels': ['Email', 'Personal Calls'], 'Offers': ['Exclusive Discounts', 'Early Access'], 'Goal': 'Increase retention and lifetime value'}",Loyalty Rewards & Premium Offers,"Email, Personal Calls","Exclusive Discounts, Early Access",Increase retention and lifetime value,"Product has the fewest steps in preparation, rolls out the easiest, is the crispiest and best tasting.  Have tried two other products of this tyoe and Namaste GF pizza mix rocks!",Positive
52247.25135379061,19,4782,637,27,2.0,At Risk Customers,"{'Strategy': 'Re-engagement Campaign', 'Channels': ['Email', 'Push Notifications'], 'Offers': ['Win-back Discounts'], 'Goal': 'Prevent churn'}",Re-engagement Campaign,"Email, Push Notifications",Win-back Discounts,Prevent churn,I absolutely love these nuts! I can't find them where I live so I will continue to order these from Amazon. They are well worth the price.,Positive
38360.0,26,4682,131,9,0.0,High Value Customers,"{'Strategy': 'Loyalty Rewards & Premium Offers', 'Channels': ['Email', 'Personal Calls'], 'Offers': ['Exclusive Discounts', 'Early Access'], 'Goal': 'Increase retention and lifetime value'}",Loyalty Rewards & Premium Offers,"Email, Personal Calls","Exclusive Discounts, Early Access",Increase retention and lifetime value,"This stuff is great.  the brown sugar flavor is the best.  it is very easy to make, since you just make them in the microwave, very quickly.  Even kids can do it.  Great for a quick, easy, healthy, yummy breakfast.  I am very satisfied with this product.",Positive
84618.0,96,4507,1672,26,3.0,Budget Buyers,"{'Strategy': 'Price-Based Promotions', 'Channels': ['SMS', 'Ads'], 'Offers': ['Coupons', 'Seasonal Discounts'], 'Goal': 'Increase purchase frequency'}",Price-Based Promotions,"SMS, Ads","Coupons, Seasonal Discounts",Increase purchase frequency,"I have a couple finicky eaters with my cats.  I have tried numerous brands and varieties of food for them.  This is one where I know that they will eat every one of the flavors in the box.  I like the convenience  of the tear open packets so I don't have to wrestle with can openers and spoons in the morning.  I actually order mine off the subscribe and save program and it comes to my door every month so I don't have to go out and buy it.  For me the cost is just about the same if I went to the store to buy it directly, but the time saver of having it delivered makes it a better value for me.",Positive
10979.0,34,4326,30,8,1.0,New Customers,"{'Strategy': 'Welcome Campaign', 'Channels': ['Email', 'SMS'], 'Offers': ['First Purchase Discount'], 'Goal': 'Convert into repeat customers'}",Welcome Campaign,"Email, SMS",First Purchase Discount,Convert into repeat customers,"My son loves this food.  He is 16 months now and I still use them.  Not all the time, but often.  The reason is that his molars are coming in very quickly and he is in a lot of pain.  He won't eat much when he's in pain, but these are easy on his gums.  They are organic and a quick meal.  My son is strong and a very healthy weight.  I make sure he gets as much organic, wholesome food as possible.  Buying these subscribe and save is a great way to give him good food and still save money.  He loves the whole line.",Positive
38620.0,56,4702,318,11,0.0,High Value Customers,"{'Strategy': 'Loyalty Rewards & Premium Offers', 'Channels': ['Email', 'Personal Calls'], 'Offers': ['Exclusive Discounts', 'Early Access'], 'Goal': 'Increase retention and lifetime value'}",Loyalty Rewards & Premium Offers,"Email, Personal Calls","Exclusive Discounts, Early Access",Increase retention and lifetime value,"Very tasty for breakfast or anytime. Mix with some nuts, raisins or other fruit and it makes great munchies. Went out and bought more.",Positive
40548.0,31,4915,120,9,0.0,High Value Customers,"{'Strategy': 'Loyalty Rewards & Premium Offers', 'Channels': ['Email', 'Personal Calls'], 'Offers': ['Exclusive Discounts', 'Early Access'], 'Goal': 'Increase retention and lifetime value'}",Loyalty Rewards & Premium Offers,"Email, Personal Calls","Exclusive Discounts, Early Access",Increase retention and lifetime value,"When I was a kid I ate slim jims all the time.<br /><br />I am glad that they still taste the same.<br />Unfortunately, nowadays they like to change and mess with too many of the things that we grew up with and loved as children.<br /><br />Here's what I used to do (and still do): I get the end real wet until the skin gets to the point that you can slough it off without breaking it. I eat the skin and then I slowly chomp the stick until it's all gone. Then I grab another and do it all over again!<br /><br />And I don't care how many of these you'll try to eat in a week -- a box of 100 is guaranteed to last a long time! This is a good buy!<br /><br />I recommend the good ol' slim jim!",Positive
46610.0,8,4896,302,17,0.0,High Value Customers,"{'Strategy': 'Loyalty Rewards & Premium Offers', 'Channels': ['Email', 'Personal Calls'], 'Offers': ['Exclusive Discounts', 'Early Access'], 'Goal': 'Increase retention and lifetime value'}",Loyalty Rewards & Premium Offers,"Email, Personal Calls","Exclusive Discounts, Early Access",Increase retention and lifetime value,"Well, just be sure that you dont mind ordering bulk and getting an entirely different product than you ordered!!! ~Amazon.com sellers' return policy doesn't allow returns. I ordered Palak Paneer cans in count 12 but recieved 12 count of Mughal Shahi Rajma.  A dish I have absolutely no interest in and never would have ordered.",Negative
68657.0,4,4782,1196,18,2.0,At Risk Customers,"{'Strategy': 'Re-engagement Campaign', 'Channels': ['Email', 'Push Notifications'], 'Offers': ['Win-back Discounts'], 'Goal': 'Prevent churn'}",Re-engagement Campaign,"Email, Push Notifications",Win-back Discounts,Prevent churn,"<span class=""tiny""> Length:: 3:35 Mins<br /><br /></span>When I first reviewed this, I gave it four stars (I'm a hesitant five-star giver), but having now used it for two weeks, it gets the fully approved 5-star love.",Positive
49389.0,55,4592,65,6,1.0,New Customers,"{'Strategy': 'Welcome Campaign', 'Channels': ['Email', 'SMS'], 'Offers': ['First Purchase Discount'], 'Goal': 'Convert into repeat customers'}",Welcome Campaign,"Email, SMS",First Purchase Discount,Convert into repeat customers,"I bought this as a gift, I didn't realize that the pot would only be big enough for one small cup. Also, the pictures are nothing like the actual ""flowers"" which are drab and unimpressive. I was asked ""I hope you didn't pay too much for this thing?"". I think I did.",Positive
67353.0,37,4468,913,28,2.0,At Risk Customers,"{'Strategy': 'Re-engagement Campaign', 'Channels': ['Email', 'Push Notifications'], 'Offers': ['Win-back Discounts'], 'Goal': 'Prevent churn'}",Re-engagement Campaign,"Email, Push Notifications",Win-back Discounts,Prevent churn,"I don't know what changed but I was no longer able to make a decent pizza dough using King Arthur flour even with dough conditioner.<br /><br />After a several year hiatus I thought I'd give pizza making another try and I bought this flour.  I watched a large number of videos of how to make pizza dough but in the end I decided to take a slightly different route.<br /><br />I found that all of the recipes are unnecessarily complex.  I add approximately 600 grams of flour to about 1 1/2 cups of water, 1/2 teaspoon of yeast and 1 teaspoon of ordinary salt. I don't add any oil or sugar.<br /><br />I knead the dough using a Kitchen Aid mix with a dough hook and add flour until the dough is no longer sticky. I knead the dough at low speed for about 5 minutes.  This flour rapidly develops a very smooth consistency.  You don't have to knead it for longer amounts of time.<br /><br />I then let the dough rise in a covered bowl for 2-4 hours and punch it down to remove all the air bubbles.<br /><br />I divide the dough into 2 even pieces forming a ball. I put the balls into a very lightly oiled large covered plastic container and let it rise in the refrigerator for a minimum of 24 hours.  Rising the dough in the refrigerator is critical. The dough seems to get wetter when it rises in the refrigerator so if your dough is a little bit on the dry side after kneading, don't worry about it.<br /><br />The dough stretches out beautifully. It doesn't tear and you can make it paper thin (but I wouldn't recommend it).<br /><br />I've been using a BBQ unit to bake the pizza. I get the BBQ unit up to around 800 degrees and the pizza cooks in just a few minutes.  I've also cooked in an oven at 550 degrees and while the bake time is longer, the pizza still comes out perfectly.<br /><br />I drizzle a bit of olive oil on the cheese.  This give the cheese a nice stretchy texture. Don't add too much sauce or you'll get soggy pizza.<br /><br />Where I live, there isn't a single place that serves a decent NYC style pizza.  Mine comes close.",Positive
23718.0,76,4588,81,9,1.0,New Customers,"{'Strategy': 'Welcome Campaign', 'Channels': ['Email', 'SMS'], 'Offers': ['First Purchase Discount'], 'Goal': 'Convert into repeat customers'}",Welcome Campaign,"Email, SMS",First Purchase Discount,Convert into repeat customers,The vet recommended glucosamine/chondroitin for the terriers to help with arthritis and knee problems. I can really tell the difference in my 11-year old dog. They love the flavor of these bites which have a strong meaty smell.,Positive
42429.0,99,4426,67,7,1.0,New Customers,"{'Strategy': 'Welcome Campaign', 'Channels': ['Email', 'SMS'], 'Offers': ['First Purchase Discount'], 'Goal': 'Convert into repeat customers'}",Welcome Campaign,"Email, SMS",First Purchase Discount,Convert into repeat customers,I'm a fan of flowery teas and this is definitely a wonderful addition to my tea assortment...and a great value!,Positive
48948.0,53,4801,902,24,3.0,Budget Buyers,"{'Strategy': 'Price-Based Promotions', 'Channels': ['SMS', 'Ads'], 'Offers': ['Coupons', 'Seasonal Discounts'], 'Goal': 'Increase purchase frequency'}",Price-Based Promotions,"SMS, Ads","Coupons, Seasonal Discounts",Increase purchase frequency,I really was pleasantly suprised by this. Used it to bread some chicken breast and ended up with a nice crisp coating that didn't come off in the frying pan. You do need to add seasoning to your coating.<br />Very good product!,Positive
80011.0,3,4714,1395,21,2.0,At Risk Customers,"{'Strategy': 'Re-engagement Campaign', 'Channels': ['Email', 'Push Notifications'], 'Offers': ['Win-back Discounts'], 'Goal': 'Prevent churn'}",Re-engagement Campaign,"Email, Push Notifications",Win-back Discounts,Prevent churn,"This higher quality ""Nutella-like"" spread can be dangerous----it's so delicious and yet, so sugary!  I have to be cautious with added sugar (I may have hypoglycemia and Candida), and this spread is loaded with sugar (the nemesis of both health conditions).  I was briefly vegan and still have very vegan-like sentiments for a vegetarian (the less animal product the better), so I wasn't too thrilled with the skim milk powder ingredient, organic though it may be. I haven't tried the Justin's version of Nutella, and my friend who works at a local health food store warned that it was practically tasteless compared to Nocciolata's Organic Hazelnut Spread with Cocoa and Milk.  As a side note, Justin's Maple Almond Butter is delicious and just sweet enough without overdoing it. I may still give the Justin's version of Nutella a try since it has several less grams of sugar per serving and no milk product in it.<br /><br />This product is delicious---yet a little goes a long way, and it is very rich.  I put some of the spread on mixed berries and Granny Smith apples, and that was sumptuous, of course.  Yet I also confess to putting a spoon in the jar when I am nearing the end of the product and just eating it by itself.  When I was little, I used to do the same thing to the Sander's Milk Chocolate Fudge that was supposed to be poured over ice cream---eat it by itself by the spoonful.  Although I don't eat ice cream, this product would be much better than typical hot fudge chocolate sauces on the market.",Positive
20559.0,88,4762,53,7,0.0,High Value Customers,"{'Strategy': 'Loyalty Rewards & Premium Offers', 'Channels': ['Email', 'Personal Calls'], 'Offers': ['Exclusive Discounts', 'Early Access'], 'Goal': 'Increase retention and lifetime value'}",Loyalty Rewards & Premium Offers,"Email, Personal Calls","Exclusive Discounts, Early Access",Increase retention and lifetime value,"When I was a kid, a very long time ago, we ate a lot of Spam.  My mother worked.  Spam was great.  Cold it made a good sandwich, fried, even better.<br />  I recently bought a can after not tasting it for many years.  I was a little surprised how watery, greasy and just plain nasty it was.  I tried frying a piece and it almost disappeared.  I gave it 2 stars only because I figured Hormel had to meet a price point and this was the best they could do.<br />  I find it funny and sad how many people think this crap actually tastes good.  Shows how our standards has fallen over the years.",Positive
21994.0,4,4840,22,4,0.0,High Value Customers,"{'Strategy': 'Loyalty Rewards & Premium Offers', 'Channels': ['Email', 'Personal Calls'], 'Offers': ['Exclusive Discounts', 'Early Access'], 'Goal': 'Increase retention and lifetime value'}",Loyalty Rewards & Premium Offers,"Email, Personal Calls","Exclusive Discounts, Early Access",Increase retention and lifetime value,"These do have dairy, but are some of the best GF chips I have ever had.  A bit on the pricey side, but for a flavored chip really good!  Highly suggest you get a bag or a dozen!",Positive
52247.25135379061,80,4524,186,9,1.0,New Customers,"{'Strategy': 'Welcome Campaign', 'Channels': ['Email', 'SMS'], 'Offers': ['First Purchase Discount'], 'Goal': 'Convert into repeat customers'}",Welcome Campaign,"Email, SMS",First Purchase Discount,Convert into repeat customers,"This soup is super easy to heat and tastes yummy!  I usually don't like add water and mix soups, but this actually tastes good.  I add corn chips, sour cream, and cheese when I'm at home, but the soup tastes good when I'm at school and eat it plain.  Plus, it's got a lot of fiber!  Twenty-four percent of my daily value in the whole cup!",Positive
7500.0,19,4558,31,8,1.0,New Customers,"{'Strategy': 'Welcome Campaign', 'Channels': ['Email', 'SMS'], 'Offers': ['First Purchase Discount'], 'Goal': 'Convert into repeat customers'}",Welcome Campaign,"Email, SMS",First Purchase Discount,Convert into repeat customers,I love this tea! It has just the right amount of peach so that it does not overpower the oolong. I can't find this in any of my local grocery stores.,Positive
